CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Voucher
12346.0,401,1,771836.0,1,1,5,115,Other,15
12347.0,16,182,43100.0,5,5,5,555,High Value,100
12348.0,6,31,17972.4,5,3,4,534,Other,15
12349.0,94,73,17575.5,4,4,4,444,High Value,100
12350.0,386,17,3344.0,1,2,2,122,Low Value,10
12352.0,113,85,25060.4,3,4,5,345,Other,15
12353.0,279,4,890.0,1,1,1,111,Low Value,10
12354.0,308,58,10794.0,1,3,4,134,Other,15
12355.0,290,13,4594.0,1,1,2,112,Low Value,10
12356.0,98,59,28114.3,4,4,5,445,High Value,100
12357.0,109,131,62076.7,3,5,5,355,Other,15
12358.0,236,19,11680.6,1,2,4,124,Other,15
12359.0,134,248,63725.8,3,5,5,355,Other,15
12360.0,128,129,26620.6,3,5,5,355,Other,15
12361.0,363,10,1899.0,1,1,1,111,Low Value,10
12362.0,111,266,52262.3,3,5,5,355,Other,15
12363.0,185,23,5520.0,2,2,3,223,Other,15
12364.0,116,85,13131.0,3,4,4,344,Other,15
12365.0,367,22,6413.8,1,2,3,123,Other,15
12367.0,382,11,1689.0,1,1,1,111,Low Value,10
12370.0,6,167,35456.9,5,5,5,555,High Value,100
12371.0,120,63,18879.6,3,4,4,344,Other,15
12372.0,147,52,12980.4,2,3,4,234,Other,15
12373.0,387,14,3646.0,1,1,2,112,Low Value,10
12374.0,101,33,7429.3,4,3,3,433,Other,15
12375.0,86,17,4575.0,4,2,2,422,Recent,50
12377.0,3,77,16281.2,5,4,4,544,High Value,100
12378.0,205,219,40086.2,2,5,5,255,Frequent,70
12379.0,157,40,8522.4,2,3,3,233,Other,15
12380.0,97,104,27248.1,4,4,5,445,High Value,100
12381.0,109,87,18453.1,3,4,4,344,Other,15
12383.0,1,99,18505.6,5,4,4,544,High Value,100
12384.0,104,27,5852.7,3,2,3,323,Other,15
12386.0,15,10,4019.0,5,1,2,512,Recent,50
12388.0,91,100,27806.6,4,4,5,445,High Value,100
12390.0,155,32,5498.4,2,3,3,233,Other,15
12391.0,97,100,4608.9,4,4,2,442,Other,15
12393.0,148,64,15826.0,2,4,4,244,Frequent,70
12394.0,139,27,12724.8,3,2,4,324,Other,15
12395.0,6,156,30186.3,5,5,5,555,High Value,100
12397.0,111,126,24099.0,3,5,5,355,Other,15
12398.0,121,85,16356.6,3,4,4,344,Other,15
12399.0,205,59,11086.5,2,4,4,244,Frequent,70
12401.0,379,5,843.0,1,1,1,111,Low Value,10
12402.0,399,11,2256.0,1,1,1,111,Low Value,10
12403.0,125,5,4277.0,3,1,2,312,Other,15
12405.0,224,54,17103.9,2,3,4,234,Other,15
12406.0,97,105,34153.0,4,4,5,445,High Value,100
12407.0,125,77,17081.2,3,4,4,344,Other,15
12408.0,108,105,28885.5,3,4,5,345,Other,15
12409.0,154,109,110726.7,2,4,5,245,Frequent,70
12410.0,384,26,6933.3,1,2,3,123,Other,15
12412.0,150,61,12268.8,2,4,4,244,Frequent,70
12413.0,142,38,7581.0,2,3,3,233,Other,15
12414.0,293,18,5624.1,1,2,3,123,Other,15
12415.0,100,716,1249145.3,4,5,5,455,High Value,100
12417.0,6,192,36491.0,5,5,5,555,High Value,100
12418.0,188,34,6685.8,2,3,3,233,Other,15
12420.0,139,29,6003.9,3,2,3,323,Other,15
12421.0,91,45,8070.4,4,3,3,433,Other,15
12422.0,171,39,8035.6,2,3,3,233,Other,15
12423.0,2,125,18593.1,5,5,4,554,High Value,100
12424.0,238,30,17609.6,1,3,4,134,Other,15
12425.0,153,36,7772.0,2,3,3,233,Other,15
