CustomerID,TotalAmount,AvgOrderAmount,OrderCount,FavoriteProduct,CustomerValue
12346.0,771836.0,771836.0,1,MEDIUM CERAMIC TOP STORAGE JAR,Middle Value
12347.0,43100.0,236.8131868131868,182,ICE CREAM SUNDAE LIP GLOSS,High Value
12348.0,17972.4,579.7548387096774,31,DOUGHNUT LIP GLOSS ,Middle Value
12349.0,17575.5,240.76027397260273,73,STRAWBERRY CERAMIC TRINKET POT,Middle Value
12350.0,3344.0,196.7058823529412,17,TEA BAG PLATE RED RETROSPOT,Middle Value
12352.0,25060.4,294.8282352941177,85,PINK HEART SHAPE EGG FRYING PAN,High Value
12353.0,890.0,222.5,4,MINI CAKE STAND WITH HANGING CAKES,Middle Value
12354.0,10794.0,186.10344827586206,58,BLUE POLKADOT CUP,Middle Value
12355.0,4594.0,353.38461538461536,13,ICE CREAM SUNDAE LIP GLOSS,Middle Value
12356.0,28114.3,476.51355932203387,59,60 TEATIME FAIRY CAKE CASES,High Value
12357.0,62076.7,473.8679389312977,131,HAND WARMER RED RETROSPOT,High Value
12358.0,11680.6,614.7684210526317,19,CERAMIC STRAWBERRY CAKE MONEY BANK,Middle Value
12359.0,63725.8,256.958870967742,248,"METAL SIGN,CUPCAKE SINGLE HOOK",High Value
12360.0,26620.6,206.3612403100775,129,MINI PAINT SET VINTAGE ,High Value
12361.0,1899.0,189.9,10,CIRCUS PARADE LUNCH BOX ,Middle Value
12362.0,52262.3,196.47481203007519,266,SPACEBOY LUNCH BOX ,High Value
12363.0,5520.0,240.0,23,60 CAKE CASES VINTAGE CHRISTMAS,Middle Value
12364.0,13131.0,154.48235294117646,85,BUBBLEGUM RING ASSORTED,Middle Value
12365.0,6413.8,291.53636363636366,22,ASSORTED BOTTLE TOP  MAGNETS ,Middle Value
12367.0,1689.0,153.54545454545453,11,SLEEPING CAT ERASERS,Low Value
12370.0,35456.9,212.3167664670659,167,BOYS ALPHABET IRON ON PATCHES,High Value
12371.0,18879.6,299.67619047619047,63,GRAND CHOCOLATECANDLE,Middle Value
12372.0,12980.4,249.62307692307692,52,PLASTERS IN TIN CIRCUS PARADE ,Middle Value
12373.0,3646.0,260.42857142857144,14,RED RETROSPOT CHARLOTTE BAG,Middle Value
12374.0,7429.3,225.13030303030303,33,72 SWEETHEART FAIRY CAKE CASES,Middle Value
12375.0,4575.0,269.11764705882354,17,JUMBO BAG PEARS,Middle Value
12377.0,16281.2,211.44415584415586,77,MINI JIGSAW CIRCUS PARADE ,Middle Value
12378.0,40086.2,183.04200913242008,219,GIRLS ALPHABET IRON ON PATCHES ,High Value
12379.0,8522.4,213.06,40,POLKADOT PEN,Middle Value
12380.0,27248.1,262.0009615384615,104,ROUND SNACK BOXES SET OF4 WOODLAND ,High Value
12381.0,18453.1,212.1045977011494,87,MINI PAINT SET VINTAGE ,Middle Value
12383.0,18505.6,186.92525252525252,99,PACK OF 12 TRADITIONAL CRAYONS,Middle Value
12384.0,5852.7,216.76666666666665,27,BIRDCAGE DECORATION TEALIGHT HOLDER,Middle Value
12386.0,4019.0,401.9,10,ASSORTED BOTTLE TOP  MAGNETS ,Middle Value
12388.0,27806.6,278.066,100,STAR DECORATION PAINTED ZINC ,High Value
12390.0,5498.4,171.825,32,MINI PAINT SET VINTAGE ,Middle Value
12391.0,4608.9,46.089,100,PARTY TIME PENCIL ERASERS,Middle Value
12393.0,15826.0,247.28125,64,LUNCH BAG WOODLAND,Middle Value
12394.0,12724.8,471.28888888888883,27,SET OF 12 MINI LOAF BAKING CASES,Middle Value
12395.0,30186.3,193.50192307692308,156,POLKADOT PEN,High Value
12397.0,24099.0,191.26190476190476,126,CARAVAN SQUARE TISSUE BOX,High Value
12398.0,16356.6,192.43058823529412,85,BUBBLEGUM RING ASSORTED,Middle Value
12399.0,11086.5,187.90677966101694,59,MINI PAINT SET VINTAGE ,Middle Value
12401.0,843.0,168.6,5,CHERRY BLOSSOM DECORATIVE FLASK,Low Value
12402.0,2256.0,205.0909090909091,11,DOLLY GIRL LUNCH BOX,Middle Value
12403.0,4277.0,855.4,5,CHILDRENS CUTLERY POLKADOT PINK,Middle Value
12405.0,17103.9,316.73888888888894,54,BLUE POLKADOT BEAKER ,Middle Value
12406.0,34153.0,325.26666666666665,105,LUNCH BAG SUKI DESIGN ,High Value
12407.0,17081.2,221.83376623376626,77,FAIRY CAKES NOTEBOOK A7 SIZE,Middle Value
12408.0,28885.5,275.1,105,DOLLY GIRL LUNCH BOX,High Value
12409.0,110726.7,1015.8412844036696,109,PACK OF 72 RETROSPOT CAKE CASES,High Value
12410.0,6933.3,266.6653846153846,26,FRENCH BATHROOM SIGN BLUE METAL,Middle Value
12412.0,12268.8,201.12786885245902,61,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Middle Value
12413.0,7581.0,199.5,38,JUMBO BAG RED RETROSPOT,Middle Value
12414.0,5624.1,312.45000000000005,18,12 PENCILS SMALL TUBE RED RETROSPOT,Middle Value
